TC ID,단위,화면,항목,유형,사전조건,절차,기대결과,우선,근거,결과,비고
U-BRK02-09,③ 교환게시판(마목),BRK-02 거래의향 등록,KYC 예외 배너,오류,기관 상태 02 활성 외,BRK-02 진입,배너 + [게시] 비활성,P0,AC-07,,
U-BRK02-10,③ 교환게시판(마목),BRK-02 거래의향 등록,[게시],정상,정상 조건,[게시] 클릭,BRK-06으로 이동. 유효기간 30일 시작·price guard 기준가 스냅숏,P0,PB-01,,
U-BRK02-11,③ 교환게시판(마목),BRK-02 거래의향 등록,[취소],정상,입력 중,[취소] 클릭,항상 활성이며 BRK-01로 돌아간다,P2,버튼 4단계,,
U-BRK03-01,③ 교환게시판(마목),BRK-03 신청하기,게시 조건,표기,타사 게재중 게시,내역 확인,신청자 기준 수량으로 보이고 게시자 표기가 전혀 없다,P0,2026-09-04(16)⑦,,
U-BRK03-02,③ 교환게시판(마목),BRK-03 신청하기,상대 행,표기,상동,상대 행 라벨 확인,"""거래 상대방""으로 표기된다",P1,2026-09-04(16)⑦,,
U-BRK03-03,③ 교환게시판(마목),BRK-03 신청하기,신청 조건·내 수수료,표기,상동,수수료 확인,거래액 1%가 신청자 기준으로 계산되어 보인다,P0,정책값 수수료율 1%,,
U-BRK03-04,③ 교환게시판(마목),BRK-03 신청하기,신청 가능 게이트,오류,잔고 부족,게이트 확인,잔고·한도 표시와 경고가 보이고 [신청] 비활성,P0,PB-03 신청자 검증,,
U-BRK03-05,③ 교환게시판(마목),BRK-03 신청하기,신청 가능 게이트,경계,한도 초과,게이트 확인,[신청] 비활성,P0,"한도 1,500,000원",,
U-BRK03-06,③ 교환게시판(마목),BRK-03 신청하기,[이 조건으로 신청],정상,정상 조건,버튼 클릭,확인 다이얼로그 후 신청 접수. BRK-07로 이동,P0,PB-03,,
U-BRK03-07,③ 교환게시판(마목),BRK-03 신청하기,고지 문구,표기,상동,문구 확인,"단독 실행 결과 고지와 ""DSRV 비참여·기록만"" 고지가 보인다",P1,마목 경계 소명,,
U-BRK04-01,③ 교환게시판(마목),BRK-04 받은 신청·수락,받은 신청 정보,표기,신청 1건 접수,화면 확인,신청자·시점·유효기한(2영업일)이 보인다,P0,PB-03,,
U-BRK04-02,③ 교환게시판(마목),BRK-04 받은 신청·수락,내 중개 수수료,표기,상동,수수료 확인,게시자 기준 1%가 보인다,P0,정책값 수수료율 1%,,
U-BRK04-03,③ 교환게시판(마목),BRK-04 받은 신청·수락,[수락],정상,상동,[수락] 클릭,확인 다이얼로그 후 확정. BRK-05로 이동,P0,ST-01,,
U-BRK04-04,③ 교환게시판(마목),BRK-04 받은 신청·수락,[거절],정상,상동,[거절] 클릭,사유 없이 거절되고 게재중으로 복귀,P0,PB-04,,
U-BRK04-05,③ 교환게시판(마목),BRK-04 받은 신청·수락,[수락],경계,price guard 이탈로 중지,[수락] 시도,비활성이며 처리 불가 안내가 보인다,P0,PB-08,,
U-BRK04-06,③ 교환게시판(마목),BRK-04 받은 신청·수락,[취소] 부재,표기,상동,버튼 구성 확인,[취소]가 없고 나가기는 GNB로만 한다,P1,2026-09-04(16)⑤,,
U-BRK05-01,③ 교환게시판(마목),BRK-05 이전·완료,확정 거래 내역,표기,확정 건 보유,양측 계정으로 각각 확인,보는 고객 기준 보내는 수량/받는 수량만 보인다,P0,2026-09-04(16)⑥,,
U-BRK05-02,③ 교환게시판(마목),BRK-05 이전·완료,확정 거래 내역,표기,상동,행 구성 확인,게시자 기준 행·'내 기준' 행이 없다,P1,2026-09-04(16)⑥,,
U-BRK05-03,③ 교환게시판(마목),BRK-05 이전·완료,정산 스텝바,정상,각 단계 진행,스텝바 확인,확정 → 예치 → 인도 → 완료 4단계가 진행에 맞게 표시된다,P0,ST-01·03·07·08,,
U-BRK05-04,③ 교환게시판(마목),BRK-05 이전·완료,예치·인도 상태,표기,예치 1건만 완료,상태 확인,내 예치/상대 예치가 구분되고 완결성이 표시된다,P0,ST-05,,
U-BRK05-05,③ 교환게시판(마목),BRK-05 이전·완료,결과 안내 배너,정상,관리자 이전 중지,BRK-05 확인,이전 중지 배너와 반환 안내가 보인다,P0,ST-04·ST-06,,
U-BRK06-01,③ 교환게시판(마목),BRK-06 내 게시 상세,상태 행,표기,게시 보유,상태 확인,게시 상태 칩과 받은 신청 건수가 보인다,P0,PB-01,,
U-BRK06-02,③ 교환게시판(마목),BRK-06 내 게시 상세,받은 신청 빈 상태,표기,신청 없음,화면 확인,빈 상태가 보인다,P1,PB-01,,
U-BRK06-03,③ 교환게시판(마목),BRK-06 내 게시 상세,신청 카드,경계,신청 2건 시도,카드 확인,동시 신청 1건만 존재한다,P0,PB-03,,
U-BRK06-04,③ 교환게시판(마목),BRK-06 내 게시 상세,[신청 보기],정상,신청 1건 존재,버튼 클릭,BRK-04로 이동,P0,PB-03,,
U-BRK06-05,③ 교환게시판(마목),BRK-06 내 게시 상세,[게시 중단],정상,게재중 또는 협의중,버튼 클릭,확인 다이얼로그 후 회수된다,P0,PB-06,,
U-BRK06-06,③ 교환게시판(마목),BRK-06 내 게시 상세,[게시 중단] 라벨,표기,상동,버튼 라벨 확인,"버튼은 '게시 중단', 상태명은 '회수'",P1,2026-09-04(16)④,,
U-BRK06-07,③ 교환게시판(마목),BRK-06 내 게시 상세,[게시 중단],경계,확정 이후 상태,확정 상태에서 버튼을 찾아본다,"비활성이 아니라 아예 보이지 않는다. ""확정된 거래는 회수할 수 없습니다. 이전 진행은 대시보드 거래 목록에서 확인해 주세요"" 안내로 대체된다",P0,BRK-06 상세 ③ · 2026-09-11 정정,,
U-BRK06-08,③ 교환게시판(마목),BRK-06 내 게시 상세,상호 마스킹,경계,확정 전 / 확정 후,확정 전후로 신청 카드와 화면 하단을 확인한다,확정 시 신청 카드 상호 마스킹이 해제된다. 이 화면에 이전 진행 링크는 없다(대시보드 거래 목록으로 간다),P0,BRK-06 상세 ③ · 2026-09-11 정정,,
U-BRK07-01,③ 교환게시판(마목),BRK-07 내 신청 상세,진행 스텝바,정상,신청 보유,스텝바 확인,신청 → 협의중 → 확정 → 이전·완료,P0,PB-03·ST-01,,
U-BRK07-02,③ 교환게시판(마목),BRK-07 내 신청 상세,상태 행,표기,상동,유효기한 확인,신청 시점과 유효기한(2영업일)이 보인다,P0,PB-05,,
U-BRK07-03,③ 교환게시판(마목),BRK-07 내 신청 상세,취소 동선,표기,상동,화면 확인,신청 취소 동선이 없다,P1,PB 섹션 주석,,
U-ADM02-22,③ 교환게시판(마목),ADM-02 ① 거래 승인,[승인] T2,정상,T2 확인 대기 행,[승인] 클릭,① 행 제거. ② 집행에 예치 2행 생성(수수료 포함 수량),P0,ST-03,,
U-ADM02-23,③ 교환게시판(마목),ADM-02 ① 거래 승인,[이전 중지] T2,정상,상동,사유 입력 후 클릭,종결되고 되돌릴 수 없다. 자산 이동·수수료 없음,P0,ST-04,,
U-ADM02-24,③ 교환게시판(마목),ADM-02 ② 집행 대기,[이전 중지] 예치·인도 행,정상,예치 완료 상태,[이전 중지] + 사유,남은 예치·인도 행 제거 후 반환 행이 예치 건수만큼 생성된다,P0,ST-06,,
U-ADM02-25,③ 교환게시판(마목),ADM-02 ② 집행 대기,인도 자동 생성,정상,예치 2건 완료,② 목록 확인,별도 승인 클릭 없이 인도 2행이 자동 생성된다,P0,ST-07,,
U-ADM02-26,③ 교환게시판(마목),ADM-02 ② 집행 대기,인도 수량,경계,인도 행 확장,명세 확인,수수료·가스 차감 후 수량으로 산정되어 있다,P0,ST-07,,
U-ADM02-27,③ 교환게시판(마목),ADM-02 ② 집행 대기,수수료 스윕 행,정상,정책 주기 도래,② 목록 확인,자산별 1행으로 묶여 생성된다,P1,ST-09,,
U-ADM03-13,③ 교환게시판(마목),ADM-03 설정,마목 중개 수수료율,정상,어드민 로그인,값 입력 후 저장,저장되고 신규 게시·신청부터 적용,P0,ADM-03 항목4,,
U-ADM03-14,③ 교환게시판(마목),ADM-03 설정,마목 유효기간 2개,정상,상동,게시(일)·신청(영업일) 입력 후 저장,각각 저장되어 PB-05·PB-07에 반영,P0,ADM-03 항목5,,
U-ADM03-15,③ 교환게시판(마목),ADM-03 설정,price guard 임계,정상,상동,값 입력 후 저장,저장되고 PB-08 판정에 반영,P0,ADM-03 항목6,,
U-DASH02-05,① 가입 및 로그인,DASH-02 비밀번호 수정,[다음],오류,비밀번호를 한 번 바꾼 상태,직전에 쓰던 비밀번호로 다시 변경 시도,재사용 금지(직전 1회)로 거부된다,P1,2026-09-10 결정 B-2 · PasswordChangeRequest,,
U-DASH03-03,① 가입 및 로그인,DASH-03 2차 인증 재설정,[재설정 메일 발송],경계,발송 1회 완료,쿨다운이 끝나기 전에 다시 클릭,cooldownUntil 까지 버튼이 비활성이고 남은 시간이 보인다,P1,2026-09-10 결정 B-5 · MfaResetInfo.cooldownUntil,,
U-AUTH01-08,① 가입 및 로그인,AUTH-01 로그인,세션 만료 배너,정상,세션이 만료된 상태,보호 화면에 접근,"AUTH-01로 이동하고 ""세션이 만료되었습니다. 다시 로그인해 주세요"" 배너가 보인다",P0,2026-09-10 결정 B-6,,
U-EXC02-10,② 교환하기(나목),EXC-02 비율 확인·수락,[거절],경계,이미 거절로 종결된 건,같은 건에 거절을 한 번 더 보낸다,오류가 아니라 현재 상태를 그대로 돌려준다,P1,2026-09-10 결정 B-7 · ExchangeCloseInfo,,
U-AUTH02-04,① 가입 및 로그인,AUTH-02 2차 인증,6자리 코드 연동,경계,같은 계정으로 다른 기기에서 이미 로그인해 둠,이 기기에서 2차 인증을 통과한다,계정당 1세션 원칙에 따라 다른 기기의 기존 세션이 즉시 끊긴다. 기존 기기는 다음 요청 때 AUTH-01로 온다,P0,AUTH-02 항목1 연동,,
U-AUTH03-05,① 가입 및 로그인,AUTH-03 복구 코드 인증,[인증] 연동,경계,같은 계정으로 다른 기기에서 이미 로그인해 둠,복구 코드로 인증한다,코드가 즉시 폐기되고 세션이 생긴다. 계정당 1세션이라 다른 기기 세션이 끊긴다. 인증 앱 등록은 유지된다,P0,AUTH-03 항목1 연동,,
U-ADM02-28,② 교환하기(나목),ADM-02 ① 거래 승인,[승인] T1 클릭 가능,경계,T1 행 존재,네 조건을 하나씩 깨뜨려 본다: ① 행 상태를 종결로 ② 다른 관리자가 같은 행 처리 중 ③ 교환 재고 < 받는 수량 ④ 기관 상태 02 외,네 경우 모두 [승인]이 비활성이다. 기관 상태는 클릭 시 커스터디를 조회한다,P0,ADM-02 [승인] T1 클릭 가능,,
U-ADM02-31,② 교환하기(나목),ADM-02 ① 거래 승인,[승인] T1 확인 사항,정상,활성 상태의 T1 행,[승인] 클릭,확인 다이얼로그가 뜬다(집행 개시는 구속력 있는 행위),P0,ADM-02 [승인] T1 확인 사항,,
U-ADM02-29,② 교환하기(나목),ADM-02 공통,자기승인 차단,오류,내가 기안한 행,같은 계정으로 [승인]·[보류]·[거절]·[이전 중지]를 시도한다,본인 기안 자기승인이 행 단위로 차단된다,P0,ADM-02 데이터사전 · notation 역할·노출,,
U-ADM02-30,② 교환하기(나목),ADM-02 ①②,기관 비활성 시 대기 건 처리,오류,해당 기관의 ① 대기 행과 ② 미집행 행이 있는 상태,기관 상태가 02 외로 확인되게 만든다,"① 행은 전부 제거·종결(거절). ② 미집행 행은 제거되고, 마목이면 반환 행이 생긴다",P0,ADM-02 항목6,,
U-EXC01-15,② 교환하기(나목),EXC-01 교환하기,예상 받는 수량 계산,경계,ETH↔스테이블 페어,ETH→USDC 와 USDC→ETH 양방향으로 각각 수량을 넣는다,ETH 페어는 방향에 따라 곱하기와 나누기가 갈린다. USDC→ETH 에서 0.0003 같은 값이 4자리로 뭉개지지 않는다,P0,EXC-01 표시 블록 · notation 비율 규격,,
U-EXC02-11,② 교환하기(나목),EXC-02 비율 확인·수락,확정 비율·받는 수량 계산,경계,ETH 페어 요청 건,양방향 각각으로 확정 비율과 받는 수량을 검산한다,계산식이 방향에 맞고 자릿수 규칙(ETH 4 · 스테이블 2)이 지켜진다,P0,EXC-02 확정 비율 고시 · notation,,
U-BRK05-06,③ 교환게시판(마목),BRK-05 이전·완료,내 중개 수수료,표기,확정 건 보유,양측에서 각각 수수료를 확인한다,보는 사람 기준 자기 부담분만 보인다. 요율 1%와 부담 자산이 관점에 따라 다르다,P0,BRK-05 항목4,,
U-BRK07-04,③ 교환게시판(마목),BRK-07 내 신청 상세,내 중개 수수료,표기,신청 보유,수수료를 확인한다,신청자 기준 자기 부담분 1%가 보인다,P0,BRK-07 항목4,,
U-BRK03-08,③ 교환게시판(마목),BRK-03 신청하기,KYC 예외 배너,오류,기관 상태 02 외,BRK-03 진입,배너가 보이고 [이 조건으로 신청]이 비활성,P0,BRK-03 항목8,,
U-DASH02-06,① 가입 및 로그인,DASH-02 비밀번호 수정,[다음] 액션,정상,다른 기기에도 로그인해 둠 · 실패 카운터가 0이 아님,비밀번호를 변경한다,타 기기 세션이 전부 로그아웃되고(현재 세션 유지) 통합 실패 카운터가 0으로 초기화되며 변경 이력이 감사기록에 남는다,P1,DASH-02 [다음] 액션,,
U-ADM03-16,② 교환하기(나목),ADM-03 설정,고정 스프레드 범위,경계,어드민 로그인,0.005%와 6%를 넣고 저장,허용 범위 0.01~5% 밖이라 거부된다,P1,ADM-03 상세 범위,,
U-ADM03-17,② 교환하기(나목),ADM-03 설정,견적 유효시간 범위,경계,상동,20초와 700초를 넣고 저장,허용 범위 30~600초 밖이라 거부된다,P1,ADM-03 상세 범위,,
U-ADM03-18,③ 교환게시판(마목),ADM-03 설정,중개 수수료율 범위,경계,상동,6%를 넣고 저장,허용 범위 0~5% 밖이라 거부된다,P1,ADM-03 상세 범위,,
U-ADM03-19,③ 교환게시판(마목),ADM-03 설정,게시 유효기간 범위,경계,상동,0일과 100일을 넣고 저장,허용 범위 1~90일 밖이라 거부된다,P1,ADM-03 상세 범위,,
U-ADM03-20,③ 교환게시판(마목),ADM-03 설정,신청 유효기간 범위,경계,상동,0영업일과 15영업일을 넣고 저장,허용 범위 1~10영업일 밖이라 거부된다,P1,ADM-03 상세 범위,,
U-ADM03-21,③ 교환게시판(마목),ADM-03 설정,price guard 임계 범위,경계,상동,0.05%와 15%를 넣고 저장,허용 범위 0.1~10% 밖이라 거부된다,P1,ADM-03 상세 범위,,
U-ADM03-22,② 교환하기(나목),ADM-03 설정,건별 한도 입력 검증,경계,상동,0원과 문자를 넣고 저장,거부된다. 허용 범위는 [확인필요],P1,ADM-03 항목7,,
U-ADM03-23,② 교환하기(나목),ADM-03 설정,취급자산 상태 중지,정상,상동,자산 하나를 중지로 바꾼다,확인 다이얼로그가 뜨고 사유를 10~500자로 필수 입력한다. 중지 후 그 자산이 든 페어 2종의 신규 요청·게시·신청이 막힌다,P1,ADM-03 항목1,,
U-ADM03-24,① 가입 및 로그인,ADM-03 설정,기관명 입력,경계,상동,1자와 51자를 넣는다. 이어서 이미 등록된 기관명을 넣는다,2~50자 밖은 거부된다. 중복 기관명도 거부되고 전용 오류 문구가 보인다,P1,ADM-03 항목13,,
U-ADM03-25,① 가입 및 로그인,ADM-03 설정,가입자 이메일 입력,경계,상동,255자 이메일을 넣는다. 이어서 이미 초대·가입된 이메일을 넣는다,254자 초과와 중복이 각각 거부되고 전용 오류 문구가 보인다,P1,ADM-03 항목14,,
U-ADM03-26,① 가입 및 로그인,ADM-03 설정,customerNo 입력,경계,상동,형식이 틀린 값(L- 없음·자리수 불일치)을 넣는다. 이어서 다른 기관에 이미 쓰인 값을 넣는다,L-XXXXXX-XXXX 형식 위반과 중복이 각각 거부된다,P1,ADM-03 항목15,,
U-ADM03-27,① 가입 및 로그인,ADM-03 설정,수탁 지갑 주소 입력,경계,상동,체크섬이 틀린 대소문자 혼용 주소를 넣는다. 이어서 다른 기관에 이미 쓰인 주소를 넣는다,EIP-55 체크섬 불일치와 중복이 각각 거부된다,P1,ADM-03 항목16,,
U-EXC01-16,② 교환하기(나목),EXC-01 교환하기,보내는 자산 ▾ 연동,정상,받는 자산과 수량까지 입력한 상태,보내는 자산을 다른 것으로 바꾼다,받는 자산과 수량이 초기화된다,P1,notation 드롭다운 공통 규격,,
U-ONB02-06,① 가입 및 로그인,ONB-02 2FA 앱 연결,6자리 코드 연동,경계,ONB-02 진입,틀린 코드를 연속 5회 넣는다,시크릿이 재생성되어 QR과 설정 키 값이 바뀌고 재등록 안내 칩이 뜬다,P1,ONB-02 항목3 연동,,
U-BRK06-09,③ 교환게시판(마목),BRK-06 내 게시 상세,[게시 중단] 다이얼로그,표기,게재중 상태와 협의중 상태 각각,두 상태에서 [게시 중단]을 눌러 다이얼로그를 비교한다,협의중일 때만 대기 신청 자동 종결 문장이 추가된다,P2,BRK-06 상세 ①②,,
U-EXC04-05,② 교환하기(나목),EXC-04 내역·완료,거절·만료 안내 배너 문구,표기,거절 3종·만료 2종 건을 각각 만든다,다섯 경우의 배너 문구를 대조한다,한도초과·추가정보확인필요·내부심사기준미충족·수락기한경과·가용풀부족 5종 고정 문구가 기획과 일치한다,P2,EXC-04 상세 2,,
U-DASH03-04,① 가입 및 로그인,DASH-03 2차 인증 재설정,[재설정 메일 발송] 액션,경계,재설정 메일을 1회 받아 둠,"쿨다운 경과 후 재발송하고, 먼저 받은 링크를 클릭한다",이전 미사용 링크가 무효화되어 최신 1개만 유효하다. 발송 이력이 감사기록에 남는다,P2,DASH-03 [재설정 메일 발송] 액션,,
