STEP,런,구간,계정·역할,화면,조작 (그대로 따라 하기),확인 (이게 안 되면 결함),커버 TC,결과,비고
113,B 나목 교환,B1 정상 완주,관리자,ADM-02 ②,입고 행을 펼치고 [명세 Excel]을 받는다. 출고 행 상태도 본다,명세가 그대로 펼쳐지고 1건 1파일로 받아진다. 명세 해시·승인자 ID가 화면과 같다. 출고 행은 비활성,U-ADM02-08·09·13,,
114,B 나목 교환,B1 정상 완주,관리자,ADM-02 ②,입고 행에 명세와 다른 txhash를 넣고 [완료]를 눌러본다,완료가 차단되고 txhash 필드에 경고. 행이 정지된다,U-ADM02-12 · I-B-10,,
115,B 나목 교환,B1 정상 완주,관리자,ADM-02 ④,④에 생긴 N3 알림에서 [확인] → 정정 후 [조치 완료 · 정정 완료 재대사],② 행이 재활성된다. 고객 화면은 그동안 변화가 없다,I-B-10 · U-ADM02-19,,
116,B 나목 교환,B1 정상 완주,관리자,ADM-02 ②,명세 다운로드를 하지 않은 상태에서 일치하는 txhash를 넣고 [완료],4항목 일치 시에만 활성되고 완료된다. 명세 다운로드 여부는 완료를 막지 않는다,U-ADM02-10·11·14,,
117,B 나목 교환,B1 정상 완주,관리자,ADM-02 ②,[완료]를 연타하고 같은 요청을 재전송해 본다,이중 처리되지 않는다,I-X-03,,
118,B 나목 교환,B1 정상 완주,관리자,ADM-02 ②,입고 완료 후 출고 행을 본다. 출고에 일치 txhash를 넣고 [완료],입고 완료 뒤에만 출고가 활성된다. 완료 시 거래가 끝난다,U-ADM02-13 · I-B-01,,
119,B 나목 교환,B1 정상 완주,기관 A,EXC-01,승인으로 ② 예약이 잡힌 상태에서 EXC-01 교환 가능 풀을 확인한다,예약분만큼 풀이 줄어 있다(가용 재고 = 잔고 − 집행 대기 예약),I-X-07,,
120,B 나목 교환,B1 정상 완주,기관 A,EXC-04 · DASH-01,고객 화면을 새로고침한다,스텝 3 체크·완료 일시·발생 가스비·실수령 수량. DASH-01 잔고 반영. 완료 이메일 ③ 수신,U-EXC04-01·04 · I-B-01,,
121,B 나목 교환,B1 정상 완주,기관 A,DASH-01,상태 칩 색과 라벨을 확인한다,대기·진행·완료·종결 4종만. 빨간 칩 없음,U-DASH01-02,,
122,B 나목 교환,B2 거절·만료,기관 A,EXC-01~02,새로 요청한다 (= 건 #2). EXC-02에서 [거절],확인 다이얼로그 없이 EXC-04 「거절 (고객 요청)」. 이메일 ⑤ 수신,U-EXC02-07 · I-B-02,,
123,B 나목 교환,B2 거절·만료,기관 A,EXC-02,거절로 종결된 건 #2에 거절을 한 번 더 보낸다,오류가 아니라 현재 상태를 그대로 돌려준다,U-EXC02-10,,
124,B 나목 교환,B2 거절·만료,기관 A,EXC-01~02,새로 요청한다 (= 건 #3). EXC-02에 머문 채 카운트다운을 지켜본다,120초가 흐른다. 이 2분 동안 아래 STEP을 함께 처리한다,U-EXC02-05,,
125,B 나목 교환,B2 거절·만료,관리자,ADM-02 ①,건 #3이 비율 제시 상태인 동안 ADM-03에서 스프레드를 바꿔 저장한다,"저장 배너 ""(vN) — 신규 요청부터 적용""",U-ADM03-08,,
126,B 나목 교환,B2 거절·만료,기관 A,EXC-02,건 #3 화면의 확정 비율을 다시 본다,요청 시점 값 그대로 유지된다. 소급 적용되지 않는다,I-B-15,,
127,B 나목 교환,B2 거절·만료,기관 A,EXC-02,카운트다운이 끝날 때까지 기다린다,"""만료됨 — 비율 무효""가 뜨고 [수락]이 비활성",U-EXC02-08 · I-B-03,,
128,B 나목 교환,B2 거절·만료,기관 A,EXC-04,화면을 나갔다가 건 #3으로 재진입한다,「만료」로 보인다. 이메일 ⑥ 수신. 재요청은 새 번호로만 가능,U-EXC04-03 · I-B-03,,
129,B 나목 교환,B3 보류 처리,기관 A,EXC-01~02,건 #4와 건 #5를 연달아 만들고 둘 다 [수락]한다,① 목록에 2행이 나란히 생긴다,전제,,
130,B 나목 교환,B3 보류 처리,관리자,ADM-02 ①,건 #4에 사유 없이 [보류]를 눌러본다,사유가 필수라 진행되지 않는다,U-ADM02-03,,
131,B 나목 교환,B3 보류 처리,관리자,ADM-02 ①,건 #4·#5 둘 다 사유를 넣어 [보류],둘 다 HOLD로 유지된다. 만료 시한이 없다,U-ADM02-04 · I-B-05,,
132,B 나목 교환,B3 보류 처리,기관 A,EXC-03,건 #4 고객 화면을 새로고침한다,진행 중 표시 그대로. 보류 사실·사유·담당자가 보이지 않는다,U-EXC03-02 · I-B-05,,
133,B 나목 교환,B3 보류 처리,관리자,ADM-02 ①,건 #4에 [승인] → ② 입고·출고를 일치 txhash로 완료,보류에서 승인으로 재검토되어 정상 완결된다,I-B-05,,
134,B 나목 교환,B3 보류 처리,관리자,ADM-02 ①,건 #5에 AML 사유로 [거절],종결되고 되돌릴 수 없다. ③ AML에 STR 검토 건이 자동 생성된다,U-ADM02-05 · I-B-06·07,,
135,B 나목 교환,B1 정상 완주,기관 A,DASH-01,완료된 건 #1 행을 클릭한다,EXC-04 상세로 이동한다,U-DASH01-01,,
136,B 나목 교환,B3 보류 처리,기관 A,EXC-04,건 #5 화면을 본다,「거절 (DSRV 심사)」와 일반화 사유 배너만. 구체 사유 없음. 이메일 ⑤,U-EXC04-02 · I-B-06,,
137,B 나목 교환,B3 보류 처리,기관 A,EXC-04,거절 3종(한도초과·추가정보확인필요·내부심사기준미충족)과 만료 2종(수락기한경과·가용풀부족)을 각각 만들어 배너 문구를 대조한다,다섯 고정 문구가 기획과 일치한다. 내부 사유는 어디에도 안 나온다,U-EXC04-05,,
138,B 나목 교환,B3 보류 처리,관리자,ADM-02 ③,생성된 ③ 행에서 [검토] → 사유 넣고 [무혐의 종결],검토중으로 바뀌었다가 행이 제거된다,U-ADM02-15·17,,
139,B 나목 교환,B4 이상거래,QA → 개발팀,슬랙,[R-11] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 다음에 만들 나목 교환 건 1건에 이상거래 룰이 적중하도록 설정해 주세요. 자전·통정·위장게시·비정상 교환패턴 중 아무 룰이나 좋습니다. AM-01 확인용입니다.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-11,,
140,B 나목 교환,B4 이상거래,기관 A,ADM-02 ①③,건 #6을 만들고 수락한다,고객 화면에는 아무 반영이 없다,I-B-17,,
141,B 나목 교환,B4 이상거래,관리자,ADM-02 ①③,① 목록과 ③ 목록을 함께 본다,"① 해당 행이 에스컬레이션으로 표시되고 ""③ 1건""이 보인다. ③에 T5 행 생성",U-ADM02-06 · I-B-17,,
142,B 나목 교환,B4 이상거래,관리자,ADM-02 ③,[검토] → 사유 넣고 [STR 검토],행 제거·종결(STR 이관). 연계 ① 건 처리는 [확인필요] 미결,U-ADM02-16,,
143,B 나목 교환,B4 이상거래,관리자,ADM-02 ①,건 #6을 승인해 완결하거나 거절해 정리한다,다음 STEP에 잔여 대기 건이 남지 않는다,전제,,
144,B 나목 교환,B5 재검증 실패,QA → 개발팀,슬랙,[R-12] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 제가 신호를 드리면 나목 교환 재고(POOL)를 0으로 소진시켜 주세요. 제가 EXC-02에서 [수락]을 누르기 직전 시점이어야 합니다. EX-07 수락 시점 재검증 실패 확인용입니다.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-12,,
145,B 나목 교환,B5 재검증 실패,기관 A,EXC-02,건 #7을 만들어 비율 제시 상태로 둔다. 개발팀에 소진 신호를 준 뒤 [수락],"""가용 재고 부족 · 비율 변동"" 안내와 [수락] 비활성 → EXC-04 「만료」",I-B-04,,
146,B 나목 교환,B5 재검증 실패,기관 A · 개발 지원,EXC-02,"별도 건을 비율 제시 상태로 두고, 재고는 그대로 둔 채 시세만 크게 움직인 뒤 [수락]","""비율 변동""으로 만료된다. 재고 부족과 달리 ④ 알림 행이 생기지 않고 기록만 남는다",I-B-20,,
147,B 나목 교환,B5 재검증 실패,관리자,ADM-02 ④,④ 목록을 본다,N2 재고 부족 알림이 생성돼 있다,U-ADM02-18 · I-B-04,,
148,B 나목 교환,B5 재검증 실패,기관 A,EXC-01,재고가 0인 상태에서 EXC-01에 들어간다,[거래 요청]이 비활성이고 요청 레코드가 만들어지지 않는다,U-EXC01-13 · I-B-09,,
149,B 나목 교환,B5 재검증 실패,QA → 개발팀,슬랙,[R-13] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 나목 교환 재고(POOL)를 원래대로 보충해 주세요.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-13,,
150,B 나목 교환,B5 재검증 실패,관리자,ADM-02 ④,N2 알림에서 [확인] → [조치 완료 · 재고 보충 확인],행이 종결되고 요청이 다시 가능해진다,U-ADM02-19,,
151,B 나목 교환,B5 재검증 실패,기관 A,EXC-01,조회를 실패시킨 상태에서 EXC-01과 BRK-02에 들어간다,"값이 ""—""로 보이고 배너가 뜨며 버튼이 비활성. 추측값을 채우지 않는다",I-X-08,,
152,B 나목 교환,B6 커스터디 웹훅,기관 A,ADM-02 ②,건 #8을 만들어 수락·승인까지 진행해 ② 미집행 행을 남긴다,② 입고 행이 대기 상태,전제,,
153,B 나목 교환,B6 커스터디 웹훅,QA → 개발팀,슬랙,[R-14] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 거래 건 (건 #8 번호를 적어 보낼 것)에 커스터디 거래 위험 중지 웹훅을 발신해 주세요. 페이로드는 건 번호 + 상태값만이고 사유·단계는 넣지 말아 주세요.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-14,,
154,B 나목 교환,B6 커스터디 웹훅,QA (요청 반영 후),-,웹훅 수신 후 고객 화면과 ② 집행 목록을 확인한다,"미집행 ② 행 거절·거래 거절. 고객에 ""진행 불가"". 이메일 ⑤. 사유·단계는 페이로드에 없다",I-B-11,,
155,B 나목 교환,B6 커스터디 웹훅,QA → 개발팀,슬랙,[R-15] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 같은 건에 해제 웹훅을 발신해 주세요.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-15,,
156,B 나목 교환,B6 커스터디 웹훅,QA (요청 반영 후),-,해제 웹훅 수신 후 상태를 확인한다,기록만 남고 거절이 복구되지 않는다,I-B-12,,
157,B 나목 교환,B6 커스터디 웹훅,기관 A · 관리자,ADM-02 ②,미집행 ② 행이 남은 나목 건을 새로 하나 만들어 둔다(건 #8은 앞 STEP에서 이미 거절 종결됐다),다음 STEP의 수동 처리 대상이 확보된다,전제,,
158,B 나목 교환,B6 커스터디 웹훅,QA → 개발팀,슬랙,[R-16] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 웹훅 수신 엔드포인트를 일시 차단하고 커스터디 재시도가 전부 실패하도록 만들어 주세요. 슬랙 통보를 확인한 뒤 원복 부탁드립니다.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-16,,
159,B 나목 교환,B6 커스터디 웹훅,QA (요청 반영 후),-,재시도 실패 후 슬랙 통보와 관리자 수동 처리를 확인한다,슬랙 통보가 오고 관리자가 [이전 중지]를 수동 수행한다. 되묻는 조회 API는 없다,I-B-13,,
160,B 나목 교환,B7 일괄 거절,기관 A,ADM-02 ①②,"건 #9와 건 #10을 만들어 하나는 ① 대기, 하나는 ② 미집행 상태로 남긴다",두 섹션에 각각 행이 있다,전제,,
161,B 나목 교환,B7 일괄 거절,관리자,ADM-02 ②,한 건은 서명·전송까지 마치고 txhash 미입력 상태로 둔다,집행 중인 콜드 이전 확보,전제,,
162,B 나목 교환,B7 일괄 거절,QA → 개발팀,슬랙,[R-17] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 기관 A를 04 거래중지로 바꿔 주세요. 제가 ① [승인]을 누르는 순간의 관문 조회에서 잡혀야 합니다. AC-08 일괄 거절 확인용입니다.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-17,,
163,B 나목 교환,B7 일괄 거절,관리자,ADM-02 ①,관리자가 건 #9에 [승인]을 클릭한다,승인 클릭 순간의 관문 조회에서 비활성이 확인된다,I-B-14 · AC-08,,
164,B 나목 교환,B7 일괄 거절,관리자,ADM-02 ①②,두 섹션을 확인한다,"해당 기관 ① 행 전부 제거·종결, ② 미집행 행 제거. 이메일 ⑤",I-B-14,,
165,B 나목 교환,B7 일괄 거절,기관 A,EXC-04,고객 화면을 본다,「거절 (DSRV 심사)」와 일반화 사유만 보인다,I-B-14,,
166,B 나목 교환,B7 일괄 거절,QA → 개발팀,슬랙,[R-18] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 기관 A를 02 활성으로 되돌려 주세요.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-18,,
167,B 나목 교환,B7 일괄 거절,QA (요청 반영 후),-,기관 A가 다시 거래 가능한지 EXC-01에서 확인한다,이후 STEP을 위해 복구,전제,,
168,B 나목 교환,B8 시세 중단,기관 A,EXC-02,건 #11을 만들어 수락하고 ① 대기 상태로 남겨둔다 (진행 중 건 확보),① 행 1개 존재,전제,,
169,B 나목 교환,B8 시세 중단,QA → 개발팀,슬랙,[R-19] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 시세 소스를 무수신 상태로 만들어 임계를 경과시켜 주세요. OP-01 확인용이라 제가 해제를 요청할 때까지 유지해 주세요.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-19,,
170,B 나목 교환,B8 시세 중단,QA (요청 반영 후),-,차단이 걸렸는지 확인한다,차단이 시작된다,I-B-08,,
171,B 나목 교환,B8 시세 중단,기관 A,EXC-01 · BRK-02 · BRK-03,EXC-01 · BRK-02 · BRK-01 세 화면에 들어가 본다,배너와 함께 신규 요청·게시·신청 버튼이 비활성. 사유는 일반화 문구,U-EXC01-12 · U-BRK02-08 · I-B-08,,
172,B 나목 교환,B8 시세 중단,기관 A,EXC-03,건 #11을 확인한다,진행 중 건은 영향이 없다,I-B-08,,
173,B 나목 교환,B8 시세 중단,QA → 개발팀,슬랙,[R-20] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 시세 소스를 정상 수신으로 복구해 주세요.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-20,,
174,B 나목 교환,B8 시세 중단,관리자,ADM-02 ④,N1 알림을 확인하고 [확인] → 시세 복구 후 [조치 완료 · 정상 수신 확인],에스컬레이션으로 생성돼 있고 종결 시 차단이 해제된다. 대체 소스로 넘기지 않는다,I-B-08,,
175,B 나목 교환,B8 시세 중단,관리자,ADM-02 ①②,건 #11을 승인·집행해 완결한다,나목 구간 정리 완료,전제,,
176,C 마목 중개,C0 게시판,기관 B,BRK-01,목록 헤더·칩·컬럼을 확인한다,notation 규격과 일치,U-BRK01-01,,
177,C 마목 중개,C0 등록 화면,기관 B,BRK-02,[+ 거래의향 등록] → 보내는 자산을 고르고 받는 자산 목록을 연다,BRK-02로 이동하고 보내는 자산이 받는 목록에서 빠진다,U-BRK01-07 · U-BRK02-01,,
178,C 마목 중개,C0 등록 화면,기관 B,BRK-02,보유·처분 가능 잔고 표시와 게시 유효기간을 읽는다,보유와 처분 가능이 구분되고 30일이 보인다,U-BRK02-02·05,,
179,C 마목 중개,C0 등록 화면,기관 B,BRK-02,양측 수량을 넣어 환산 비율·현 시세·편차를 본다. ETH 페어도 한 번 넣어본다,ETH 페어 비율은 방향 무관 {스테이블}/ETH 2자리,U-BRK02-03,,
180,C 마목 중개,C0 등록 화면,기관 B,BRK-02,임계 2.0%를 넘는 편차가 나오는 수량을 넣고 [게시],등록이 거부된다. 경고만 띄우고 통과시키지 않는다,U-BRK02-04,,
181,C 마목 중개,C0 등록 화면,기관 B,BRK-02,한도 초과 수량 → 처분 가능분 초과 수량 순으로 넣어본다,각각 비활성 또는 인라인 경고. 게시가 생성되지 않는다,U-BRK02-06·07 · I-C-02·17,,
182,C 마목 중개,C0 등록 화면,기관 B,BRK-02,[취소]를 눌러본다,항상 활성이며 BRK-01로 돌아간다,U-BRK02-11,,
183,C 마목 중개,C0 등록 화면,기관 B,BRK-02,기관 C가 ETH를 보내야 하는 게시와 한도 경계를 넘는 게시를 각각 하나씩 올려 둔다,다음 STEP 게이트 확인용 게시 2건,전제,,
184,C 마목 중개,C1 정상 완주,기관 B,BRK-02,정상값으로 [게시] (= 게시 #1). 게시번호를 시트에 적는다,BRK-06으로 이동. 유효기간 30일 시작·price guard 기준가 스냅숏,U-BRK02-10 · I-C-01,,
185,C 마목 중개,C0 등록 화면,기관 C,BRK-03,잔고가 모자란 자산의 게시에 들어가 게이트를 본다. 이어서 한도를 넘는 게시에도 들어간다,두 경우 모두 잔고·한도 표시와 경고가 보이고 [신청]이 비활성,U-BRK03-04·05 · I-C-17,,
186,C 마목 중개,C0 등록 화면,기관 C,BRK-03,기관 상태를 02 외로 만든 상태에서 BRK-03에 들어간다,KYC 예외 배너가 보이고 [이 조건으로 신청]이 비활성,U-BRK03-08,,
187,C 마목 중개,C1 정상 완주,기관 B,BRK-06,상태 행과 받은 신청 영역을 본다,게시 상태 칩과 받은 신청 건수(0). 빈 상태 표시,U-BRK06-01·02,,
188,C 마목 중개,C1 정상 완주,기관 C,BRK-01,기관 C로 로그인해 게시판을 본다,기관 B의 게시가 게재중으로 보인다,U-BRK01-02,,
189,C 마목 중개,C1 정상 완주,기관 C,BRK-03,게시 #1 행을 클릭한다. 내역·상대 행 라벨·수수료·게이트를 전부 읽는다,"신청자 기준 수량으로 보이고 게시자 표기가 전혀 없다. 상대 행은 ""거래 상대방"". 수수료 1%. 확정 전이라 상대 기관이 가려져 있다",U-BRK03-01~03 · U-BRK06-08 · I-C-18,,
190,C 마목 중개,C1 정상 완주,기관 C,BRK-03,고지 문구를 확인한다,"단독 실행 결과 고지와 ""DSRV 비참여·기록만"" 고지가 보인다",U-BRK03-07,,
191,C 마목 중개,C1 정상 완주,기관 C,BRK-03,[이 조건으로 신청] 클릭,확인 다이얼로그 후 접수되어 BRK-07로 이동. 게시자에게 이메일 ①,U-BRK03-06 · I-C-01,,
192,C 마목 중개,C1 정상 완주,기관 C,BRK-07,스텝바·상태 행·수수료·취소 동선을 확인한다,신청 → 협의중 → 확정 → 이전·완료. 신청 시점과 유효기한 2영업일. 신청 취소 동선이 없다,U-BRK07-01~03,,
193,C 마목 중개,C1 정상 완주,기관 B,BRK-06 → BRK-04,BRK-06에서 신청 카드를 보고 [신청 보기],카드 1건이 보이고 BRK-04로 이동,U-BRK06-03·04,,
194,C 마목 중개,C1 정상 완주,기관 B,BRK-04,받은 신청 정보·수수료·버튼 구성을 확인한다,신청자·시점·유효기한이 보인다. 게시자 기준 수수료 1%. [취소] 버튼이 없다,U-BRK04-01·02·06,,
195,C 마목 중개,C1 정상 완주,기관 B · C,BRK-01,기관 B와 기관 C가 각각 게시판을 본다,"기관 B는 ""내 게시"" 표시가 있는 행에서 BRK-06으로, 기관 C는 내 신청 중인 행에서 BRK-07로 이동한다",U-BRK01-04·05,,
196,C 마목 중개,C1 정상 완주,기관 B,BRK-04,[수락] 클릭,확인 다이얼로그 후 확정. BRK-05로 이동. 양측 이메일 ②,U-BRK04-03 · I-C-01,,
197,C 마목 중개,C1 정상 완주,기관 B · C,BRK-06 · BRK-05,양측에서 상대 기관 정보를 확인한다,확정 순간 상호 마스킹이 해제되고 [이전 진행 보기 →]가 보인다,U-BRK06-08 · I-C-18,,
198,C 마목 중개,C1 정상 완주,기관 B · C,BRK-05,양측 화면에서 확정 거래 내역을 각각 읽는다,보는 고객 기준 보내는 수량/받는 수량만. 게시자 기준 행·내 기준 행이 없다,U-BRK05-01·02 · I-C-01,,
199,C 마목 중개,C1 정상 완주,기관 B · C,BRK-05 · BRK-07,양측에서 내 중개 수수료를 각각 확인한다,보는 사람 기준 자기 부담분만 보인다. 요율 1%와 부담 자산이 관점에 따라 다르다,U-BRK05-06 · U-BRK07-04,,
200,C 마목 중개,C1 정상 완주,관리자,ADM-02 ①,① 목록의 T2 행에서 [승인],① 행 제거. ② 집행에 예치 2행이 생긴다,U-ADM02-22 · I-C-01,,
201,C 마목 중개,C1 정상 완주,관리자,ADM-02 ②,예치 행을 펼쳐 수량을 검산한다,예치 = 거래 + 수수료 1%(각자). 게시자·신청자 각각,I-C-12,,
202,C 마목 중개,C1 정상 완주,관리자,ADM-02 ②,예치 1건만 일치 txhash로 [완료]하고 멈춘다,인도 행이 자동 생성되지 않는다,I-C-13,,
203,C 마목 중개,C1 정상 완주,관리자,ADM-02 ②,예치 행에서 [보류] + 사유를 넣었다가 같은 행에서 재개한다,미집행 행이 정지되고 사유가 남는다. 만료 시한이 없고 같은 행에서 재개된다,I-C-20,,
204,C 마목 중개,C1 정상 완주,기관 B · C,BRK-05,양측 화면을 본다,내 예치 완료 / 상대 예치 대기로 구분되고 완결성이 표시된다,U-BRK05-04 · I-C-13,,
205,C 마목 중개,C1 정상 완주,관리자,ADM-02 ②,나머지 예치 1건도 [완료],인도 2행이 별도 승인 클릭 없이 자동 생성된다,U-ADM02-25 · I-C-01,,
206,C 마목 중개,C1 정상 완주,관리자,ADM-02 ②,인도 행 명세 수량을 검산한다,인도 = 거래 − 가스. 수수료·가스 차감 후 수량,U-ADM02-26 · I-C-12,,
207,C 마목 중개,C1 정상 완주,관리자,ADM-02 ②,인도 행에 명세와 다른 txhash로 [완료]를 시도한다. 정정 후 재대사,완료가 차단되고 행이 정지되며 ④ N3 알림. 정정하면 재활성,I-C-22,,
208,C 마목 중개,C1 정상 완주,관리자,ADM-02 ②,인도 2건을 일치 txhash로 [완료],거래가 완료된다,I-C-01,,
209,C 마목 중개,C1 정상 완주,기관 B · C,BRK-05~07 · DASH-01,양측 화면을 새로고침한다,스텝 4 완료 배너. BRK-06 완료 + 링크. BRK-07 스텝 4. 잔고 반영. 양측 이메일 ③,U-BRK05-03 · I-C-01,,
210,C 마목 중개,C1 정상 완주,관리자,ADM-02 ②,에스크로 잔여를 확인한다,수수료 + 가스 차감분이 남아 있다,I-C-12,,
211,C 마목 중개,C2 게시 재활용,개발 지원 · 기관 B,ADM-02 ①③,위장게시 룰이 적중하도록 설정한 뒤 마목 건을 확정까지 진행한다,"① T2 행이 확인 대기가 아니라 에스컬레이션으로 생성되고 ""③ 1건"" 표시가 붙는다",I-C-21,,
212,C 마목 중개,C2 게시 재활용,관리자,ADM-02 ①③,③ [검토] → [STR 검토] + 사유 → 연계 ① 건을 거절한다,③ 행 제거·종결(STR 이관). 고객 화면에는 일반화 문구만 보이고 STR 표시가 없다,I-B-19,,
213,C 마목 중개,C2 게시 재활용,기관 B,BRK-02,새 게시를 만든다 (= 게시 #2). 이 게시는 이어지는 4개 STEP에서 계속 재사용한다,게재중,전제,,
214,C 마목 중개,C2 게시 재활용,기관 C → 기관 B,BRK-03 → BRK-04,"기관 C가 신청하고, 기관 B가 [거절]","사유 없이 거절된다. 게시자는 게재중 복귀, 신청자는 거절됨. BRK-01 재노출",U-BRK04-04 · I-C-03,,
215,C 마목 중개,C2 게시 재활용,기관 E,BRK-03,다른 기관(E)이 같은 게시 #2에 신청한다,거절 후 다른 기관이 신청할 수 있다,I-C-03,,
216,C 마목 중개,C2 게시 재활용,기관 A,BRK-01 · BRK-03,기관 A가 협의중인 게시 #2 행을 클릭한다,행은 클릭되고 상세가 열리되 [신청]이 비활성. 동시 신청 1건 제한,U-BRK01-03 · U-BRK03-07 · I-C-08,,
217,C 마목 중개,C2 게시 재활용,QA → 개발팀,슬랙,[R-21] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 게시 (게시 #2 번호를 적어 보낼 것)에 걸린 기관 E의 신청을 유효기한 2영업일 경과로 만료시켜 주세요. 대상 RFQ_APPLICATION 유효기한 필드를 현재 이전으로. PB-05 확인용입니다.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-21,,
218,C 마목 중개,C2 게시 재활용,QA (요청 반영 후),-,만료 후 양측 화면과 게시 상태를 확인한다,"게시자는 게재중 복귀·카드 제거, 신청자는 만료로 종결",I-C-04,,
219,C 마목 중개,C2 게시 재활용,기관 C,BRK-03,기관 C가 게시 #2에 다시 신청한다 (회수 실험용 대기 신청 확보),협의중,전제,,
220,C 마목 중개,C2 게시 재활용,기관 B,BRK-06,[게시 중단] 버튼 라벨을 확인하고 클릭한다,"버튼은 ""게시 중단"", 상태명은 ""회수"". 확인 다이얼로그가 뜬다",U-BRK06-05·06 · I-C-05,,
221,C 마목 중개,C2 게시 재활용,기관 B · C,BRK-06 · BRK-07 · BRK-01,다이얼로그를 승인하고 양측·목록을 확인한다,"게시자 회수, 신청자 종결 사유 ""게시 회수"". BRK-01 즉시 제외. 대기 신청 자동 종결. 자산 이동·수수료 없음. 신청자에게 이메일 ④",U-BRK01-06 · I-C-05,,
222,C 마목 중개,C2 게시 재활용,기관 B,BRK-06,게재중 상태와 협의중 상태에서 각각 [게시 중단] 다이얼로그를 열어 비교한다,협의중일 때만 대기 신청 자동 종결 문장이 추가된다,U-BRK06-09,,
223,C 마목 중개,C2 게시 재활용,기관 B,BRK-06,회수된 게시 #2에서 [게시 중단]을 다시 눌러본다,게재중·협의중에서만 활성이므로 비활성,U-BRK06-07,,
224,C 마목 중개,C3 만료·중지,기관 B,BRK-06,게시 #3을 만들고 기관 C가 신청해 협의중까지 만든다. 게시번호를 시트에 적는다,협의중,전제,,
225,C 마목 중개,C3 만료·중지,QA → 개발팀,슬랙,[R-22] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 게시 (게시 #3 번호를 적어 보낼 것)를 유효기간 30일 경과로 만료시켜 주세요. 대상 RFQ_INTENT 유효기간 필드를 현재 이전으로. 협의중인 신청이 함께 종결되는지 볼 것이라 신청 행은 살려둔 채로 부탁드립니다. PB-07 확인용입니다.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-22,,
226,C 마목 중개,C3 만료·중지,기관 B · 기관 C,BRK-02 · BRK-03,만료 처리 후 게시자·신청자 양측 화면을 확인한다,협의중,I-C-06,,
227,C 마목 중개,C3 만료·중지,QA → 개발팀,슬랙,[R-23] 아래 문구를 그대로 슬랙에 보내고 완료 회신을 받는다.  「[QA 요청] 게시 (게시 #4 번호를 적어 보낼 것)의 price guard 기준가 대비 +2.5% 이탈이 되도록 시세를 주입해 주세요. 임계는 2.0%입니다. PB-08 확인용입니다.」,"완료 회신을 받았고, 변경이 실제로 반영됐는지 화면이나 조회로 1회 확인했다",지원요청 R-23,,
228,C 마목 중개,C3 만료·중지,QA (요청 반영 후),-,시세 주입 후 게시 상태를 확인한다,price guard 자동 중지가 발동한다,I-C-07,,
229,C 마목 중개,C3 만료·중지,기관 B · C,BRK-06 · BRK-04 · BRK-01,양측과 목록을 확인한다. 어드민 ④도 본다,게시자 중지·신청자 종결. BRK-04 [수락] 비활성. BRK-01 제외. 어드민 알림은 없다,U-BRK04-05 · I-C-07,,
