TC ID,구분,대상,검증 내용,우선,실행 STEP,상태,비고
U-ADM03-23,단위,ADM-03 설정,취급자산 상태 중지 : 확인 다이얼로그가 뜨고 사유를 10~500자로 필수 입력한다. 중지 후 그 자산이 든 페어 2종의 신규 요청·게시·신청이 막힌다,P1,007,,
U-ADM03-24,단위,ADM-03 설정,기관명 입력 : 2~50자 밖은 거부된다. 중복 기관명도 거부되고 전용 오류 문구가 보인다,P1,012,,
U-ADM03-25,단위,ADM-03 설정,가입자 이메일 입력 : 254자 초과와 중복이 각각 거부되고 전용 오류 문구가 보인다,P1,013,,
U-ADM03-26,단위,ADM-03 설정,customerNo 입력 : L-XXXXXX-XXXX 형식 위반과 중복이 각각 거부된다,P1,014,,
U-ADM03-27,단위,ADM-03 설정,수탁 지갑 주소 입력 : EIP-55 체크섬 불일치와 중복이 각각 거부된다,P1,015,,
U-EXC01-16,단위,EXC-01 교환하기,보내는 자산 ▾ 연동 : 받는 자산과 수량이 초기화된다,P1,091,,
U-ONB02-06,단위,ONB-02 2FA 앱 연결,6자리 코드 연동 : 시크릿이 재생성되어 QR과 설정 키 값이 바뀌고 재등록 안내 칩이 뜬다,P1,035,,
U-BRK06-09,단위,BRK-06 내 게시 상세,[게시 중단] 다이얼로그 : 협의중일 때만 대기 신청 자동 종결 문장이 추가된다,P2,222,,
U-EXC04-05,단위,EXC-04 내역·완료,거절·만료 안내 배너 문구 : 한도초과·추가정보확인필요·내부심사기준미충족·수락기한경과·가용풀부족 5종 고정 문구가 기획과 일치한다,P2,137,,
U-DASH03-04,단위,DASH-03 2차 인증 재설정,[재설정 메일 발송] 액션 : 이전 미사용 링크가 무효화되어 최신 1개만 유효하다. 발송 이력이 감사기록에 남는다,P2,060,,
I-A-01,통합,ADM-03 · ONB-00~03 · AUTH-01~02 · DASH-01,초대부터 로그인까지 정상 완주 : 계정이 활성 상태가 되고 DASH-01에 진입한다,P0,042,,
I-A-02,통합,ONB-04 · ADM-03,초대 링크 만료 후 재발송 : ONB-04 만료 배너를 본 뒤 새 링크로 정상 활성화된다,P0,048 · 049 · 050,,
I-A-03,통합,ONB-04,초대 링크 1회용 확인 : ONB-04가 열리고 재활성화되지 않는다,P0,046,,
I-A-04,통합,ONB-01~03,활성화 중도 이탈 후 재개 : 진행 중이던 지점(ONB-02)으로 재개된다. 비밀번호를 다시 설정하는 동선은 없다,P0,052,,
I-A-05,통합,AUTH-01~03 · ADM-02 ④,로그인 실패 누적 잠금과 해제 : 잠금 배너를 보다가 해제 후 기존 비밀번호·OTP로 로그인이 재개된다,P0,061 · 063 · 064,,
I-A-06,통합,AUTH-01 · ADM-02 ③④ · EXC-04 · BRK-05,탈취 의심 잠금 유지와 이관 : 로그인 불가가 유지된다. 이관 사실은 통지하지 않는다,P0,255 · 256,,
I-A-07,통합,AUTH-01~03 · DASH-01,복구 코드 인증 경로 : 세션이 생성되어 DASH-01에 진입하고 2FA 재설정 권고 배너가 보인다. 2FA는 초기화되지 않는다,P0,056,,
I-A-08,통합,전 화면 · ADM-03,기관 비활성 상태의 게이팅 : KYC 예외 배너가 전 화면에 보이고 EXC-01·BRK-02·BRK-03 버튼이 비활성. 조회는 가능하고 상태별 문구 차등은 없다,P0,080 · 081 · 085,,
I-A-09,통합,ADM-03,거래해지 수신 : AC-07과 동일하게 거래가 막힌다,P1,083,,
I-A-10,통합,ADM-03,상태 변경 웹훅 부재 확인 : 즉시 반영되지 않는다,P0,079 · 080,,
I-A-11,통합,DASH-02 · AUTH-01,비밀번호 변경 후 재로그인 : 새 비밀번호로 로그인되고 이전 비밀번호는 거부된다,P0,070,,
I-A-12,통합,DASH-03 · AUTH-02,2차 인증 재설정 완주 : 새 2FA 코드로 로그인된다,P0,074,,
I-A-13,통합,전 화면,감사로그 적재 : 해당 없음,P1,269,,
I-B-01,통합,EXC-01~04 · ADM-02 ①② · DASH-01,나목 교환 정상 완주 : 요청됨 → 비율 제시 → 진행 중 → 완료로 칩이 바뀌고 EXC-04에 완료 일시·발생 가스비·실수령 수량이 보인다. DASH-01 잔고 반영,P0,099 · 103 · 112 · 118 · 120,,
I-B-02,통합,EXC-02 · EXC-04,고객 거절 : 확인 다이얼로그 없이 EXC-04 「거절 (고객 요청)」,P0,122,,
I-B-03,통합,EXC-02 · EXC-04,"수락 기한 만료 : ""만료됨 — 비율 무효""를 보고 재진입 시 EXC-04 「만료」. 재요청은 새 요청번호로 시작",P0,127 · 128,,
I-B-04,통합,EXC-02 · EXC-04 · ADM-02 ④,"수락 시점 재검증 실패 : ""가용 재고 부족 · 비율 변동"" 안내와 [수락] 비활성. EXC-04 「만료」",P0,145 · 147,,
I-B-05,통합,EXC-03 · ADM-02 ①②,관리자 보류 후 승인 : EXC-03의 진행 중 표시가 그대로 유지되고 보류 사실·사유·담당자가 보이지 않는다,P0,131 · 132 · 133,,
I-B-06,통합,EXC-04 · ADM-02 ①,관리자 보류 후 거절 : EXC-04 「거절 (DSRV 심사)」와 일반화 사유 배너만 보인다. 구체 사유는 없다,P0,134 · 136,,
I-B-07,통합,ADM-02 ①③ · EXC-04,AML 사유 거절과 ③ 연계 : 일반화 사유만 보인다,P0,134,,
I-B-08,통합,EXC-01 · BRK-02 · BRK-03 · ADM-02 ④,시세 소스 중단과 복구 : 배너와 함께 신규 요청·게시·신청 버튼이 비활성. 진행 중 건은 영향 없음. 종결 후 차단 해제,P0,170 · 171 · 172 · 174,,
I-B-09,통합,EXC-01,가용 재고 부족 차단 : [거래 요청]이 비활성이고 요청 레코드가 만들어지지 않는다,P0,148,,
I-B-10,통합,ADM-02 ②④ · EXC-03,집행 대사 불일치와 정정 : 거래 상태가 유지되고 정지 사실을 알리지 않는다,P0,114 · 115,,
I-B-11,통합,ADM-02 ②· EXC-04,"커스터디 거래 위험 중지 수신 : 거래가 거절되고 ""진행 불가"" 안내를 본다",P0,154,,
I-B-12,통합,ADM-02,커스터디 해제 수신 : 복구되지 않으므로 재요청이 필요하다,P0,156,,
I-B-13,통합,ADM-02 ②,웹훅 수신 실패 대비 : 해당 없음,P1,159,,
I-B-14,통합,ADM-02 ①② · EXC-04,기관 비활성 확인 시 일괄 거절 : EXC-04 「거절 (DSRV 심사)」와 일반화 사유만 보인다,P0,163 · 164 · 165,,
I-B-15,통합,ADM-03 · EXC-02,정책값 변경의 소급 없음 : 진행 중 건의 확정 비율이 요청 시점 값 그대로 유지된다,P0,126,,
I-B-16,통합,EXC-01,건별 한도 경계 : 아래는 통과하고 위는 차단된다,P0,098,,
I-B-17,통합,ADM-02 ①③,이상거래 룰 적중 : 고객 화면에 아무 반영이 없다,P0,140 · 141,,
I-B-18,통합,ADM-02 ④,지갑 3면 대사 불일치 : 반영 없음,P1,258 · 259 · 260,,
I-C-01,통합,BRK-01~07 · ADM-02 ①② · DASH-01,"마목 중개 정상 완주 : 게재중 → 협의중 → 확정 → 완료. BRK-05 스텝 4 완료 배너, 양측 DASH-01 잔고 반영",P0,184 · 191 · 196 · 198 · 200 · 205 · 208 · 209,,
I-C-02,통합,BRK-02,게시 게이트 실패 : 인라인 경고 또는 상단 배너와 함께 버튼이 비활성,P0,181,,
I-C-03,통합,BRK-04 · BRK-06 · BRK-07 · BRK-01,게시자 거절 후 재신청 : 게시자는 게재중으로 복귀하고 신청자는 거절됨. BRK-01에 재노출되어 다른 기관이 신청할 수 있다,P0,214 · 215,,
I-C-04,통합,BRK-06 · BRK-07 · BRK-01,"신청 유효기한 만료 : 게시자는 게재중 복귀·카드 제거, 신청자는 만료로 종결",P0,218,,
I-C-05,통합,BRK-06 · BRK-07 · BRK-01,"게시 회수 : 게시자는 회수, 신청자는 종결 사유 ""게시 회수"". BRK-01에서 즉시 제외",P0,220 · 221,,
I-C-06,통합,BRK-06 · BRK-01,"게시 유효기간 만료 : 게시자는 만료, 신청자는 종결",P0,226,,
I-C-07,통합,BRK-06 · BRK-04 · BRK-01,"price guard 자동 중지 : 게시자는 중지, 신청자는 종결. BRK-04 [수락] 비활성. BRK-01 제외. 재개는 재게시로만",P0,228 · 229 · 231 · 232,,
I-C-08,통합,BRK-01 · BRK-03,동시 신청 1건 제한 : 행은 클릭되고 상세가 열리되 [신청]이 비활성,P0,216,,
I-C-09,통합,BRK-05 · ADM-02 ①,"관리자 보류 후 승인 : BRK-05에 ""이전 보류"" 배너(일반화 사유)가 보였다가 예치 진행으로 넘어간다",P0,233 · 234,,
I-C-10,통합,BRK-05 · ADM-02 ①,이전 중지 · 예치 전 : 양측 이전 중지. BRK-05 이전 중지 배너,P0,235 · 236 · 237,,
I-C-11,통합,BRK-05 · ADM-02 ②,이전 중지 · 예치 후 : 이전 중지 배너와 반환 안내가 보인다,P0,238 · 239 · 241,,
I-C-12,통합,BRK-03 · BRK-04 · ADM-02 ②,수수료 계산 정합 : BRK-03·BRK-04·BRK-07의 내 수수료 표시가 실제 산정과 일치한다,P0,201 · 206 · 210,,
I-C-13,통합,BRK-05 · ADM-02 ②,양건 예치 완결성 : BRK-05에 내 예치 완료 / 상대 예치 대기로 구분되어 보인다,P0,202 · 204,,
I-C-14,통합,ADM-02 ②④,예치 대사 불일치 : 상태 변화 없음,P0,242 · 243,,
I-C-15,통합,ADM-02 ②,수수료 스윕 : 고객 화면과 무관하다,P1,252 · 253,,
I-C-16,통합,BRK-05 · ADM-02 ②,기관 비활성 시 예치 완료 건 : BRK-05 이전 중지 배너,P0,246,,
I-C-17,통합,BRK-02 · BRK-03,마목 한도 양측 검증 : 두 시점 모두 차단된다,P0,181 · 185,,
I-C-18,통합,BRK-03 · BRK-04 · BRK-06,확정 전후 상호 마스킹 : 확정 전에는 상대 기관이 가려지고 확정 순간 해제된다,P0,189 · 197,,
I-X-01,통합,전 화면,갱신 방식 확인 : 자동 갱신·폴링·토스트가 없다. 진입·새로고침 시에만 조회된다,P1,089,,
I-X-02,통합,전 화면,배너 동작 확인 : 완료 배너는 닫기·자동 닫힘이 없는 고정 배너. 실패 배너는 1종이며 최신 값 재조회를 제공한다,P1,268,,
I-X-03,통합,ADM-02 ②,멱등성 : 해당 없음,P0,117,,
I-X-04,통합,ADM-02 ①②,행 잠금 : 해당 없음,P0,264,,
I-X-05,통합,ADM-02 · 고객 콘솔,권한 분리 : 해당 없음,P0,263,,
I-X-06,통합,ADM-02 · DASH-01,CSV 정합 : 고객 CSV에는 원화 환산이 없다,P1,265 · 267,,
I-A-14,통합,DASH-02 · AUTH-01,비밀번호 변경 시 타 기기 세션 종료 : 다른 브라우저의 세션이 끊겨 AUTH-01로 이동한다,P0,069,,
I-A-15,통합,전 화면 · AUTH-01,유휴 세션 만료 : AUTH-01로 이동하고 만료 안내 배너가 보인다. 작업 중이던 입력은 복원하지 않는다,P0,075,,
I-A-16,통합,전 화면 · AUTH-01,절대 세션 만료·슬라이딩 없음 : 계속 써도 만료 시각이 뒤로 밀리지 않는다. 도달하면 AUTH-01로 이동,P0,077,,
I-C-19,통합,BRK-05 · ADM-02 ②,마목 거래에 커스터디 중지 알림 : BRK-05에 이전 중지 배너와 반환 안내가 보이고 사유는 나오지 않는다,P0,247,,
I-C-20,통합,ADM-02 ② · BRK-05,예치 후 보류와 재개 : BRK-05는 진행 표시를 유지한다,P1,203,,
I-B-19,통합,ADM-02 ①③ · EXC-04,AML STR 이관과 연계 건 거절 : EXC-04에 일반화 문구만 보이고 STR 관련 표시가 전혀 없다,P1,212,,
I-A-17,통합,EXC-01 · BRK-02 · BRK-03 · BRK-04,요청·수락 관문에서 기관 비활성 확인 : 두 관문에서 각각 잡혀 차단된다. 로그인 관문만으로는 안 잡힌다,P1,087,,
I-B-20,통합,EXC-02 · EXC-04 · ADM-02 ④,"수락 시점 비율 이탈 : ""비율 변동"" 안내와 함께 만료된다",P1,146,,
I-C-21,통합,ADM-02 ①③,마목 확정 건 이상거래 에스컬레이션 : 고객 화면에 반영이 없다,P1,211,,
I-C-22,통합,ADM-02 ②④,인도·반환·스윕 대사 불일치 : 상태 변화 없음,P1,207 · 240,,
I-B-21,통합,ADM-02 ①,자동검증 첨부 확인 : 해당 없음,P1,107,,
I-X-07,통합,EXC-01 · BRK-02,"예약·기게시 차감이 게이트에 반영 : 풀은 예약분만큼, 처분 가능분은 기게시분만큼 줄어 있다",P1,119,,
I-X-08,통합,EXC-01 · BRK-02,"조회 실패 시 게이트 : 값이 ""—""로 보이고 상단 배너가 뜨며 [거래 요청]·[게시]가 비활성. 추측값을 채우지 않는다",P1,151,,
I-X-09,통합,ADM-02 데이터 다운로드,구분회계 기록 대조 : 해당 없음,P1,266,,
